Step:59, ACC:57.55, Iter:0, batch:59, time:62.07, loss:0.65
Step:60, ACC:57.66, Iter:0, batch:60, time:62.64, loss:0.65
Step:61, ACC:57.81, Iter:0, batch:61, time:63.26, loss:0.62
Step:62, ACC:57.89, Iter:0, batch:62, time:64.65, loss:0.68
Step:63, ACC:57.93, Iter:0, batch:63, time:65.40, loss:0.66
Step:64, ACC:58.10, Iter:0, batch:64, time:66.13, loss:0.62
Step:65, ACC:58.19, Iter:0, batch:65, time:66.97, loss:0.68
Step:66, ACC:58.35, Iter:0, batch:66, time:68.29, loss:0.65
Step:67, ACC:58.48, Iter:0, batch:67, time:69.13, loss:0.61
Step:68, ACC:58.70, Iter:0, batch:68, time:69.92, loss:0.61
Step:69, ACC:58.82, Iter:0, batch:69, time:70.73, loss:0.61
Step:70, ACC:58.89, Iter:0, batch:70, time:72.13, loss:0.63
Step:71, ACC:58.96, Iter:0, batch:71, time:72.77, loss:0.59
Step:72, ACC:59.08, Iter:0, batch:72, time:73.58, loss:0.62
Step:73, ACC:59.18, Iter:0, batch:73, time:74.41, loss:0.62
Step:74, ACC:59.08, Iter:0, batch:74, time:75.25, loss:0.69
Step:75, ACC:59.11, Iter:0, batch:75, time:76.68, loss:0.61
Step:76, ACC:59.09, Iter:0, batch:76, time:77.47, loss:0.65
Step:77, ACC:59.03, Iter:0, batch:77, time:78.08, loss:0.62
Step:78, ACC:59.14, Iter:0, batch:78, time:78.93, loss:0.58
Step:79, ACC:59.16, Iter:0, batch:79, time:80.38, loss:0.61
Step:80, ACC:59.28, Iter:0, batch:80, time:81.32, loss:0.56
Step:81, ACC:59.30, Iter:0, batch:81, time:82.10, loss:0.59
Step:82, ACC:59.39, Iter:0, batch:82, time:83.63, loss:0.57
Step:83, ACC:59.49, Iter:0, batch:83, time:84.49, loss:0.58
Step:84, ACC:59.52, Iter:0, batch:84, time:85.27, loss:0.60
Step:85, ACC:59.57, Iter:0, batch:85, time:86.23, loss:0.66
Step:86, ACC:59.68, Iter:0, batch:86, time:87.46, loss:0.58
Step:87, ACC:59.91, Iter:0, batch:87, time:89.27, loss:0.48
Step:88, ACC:60.06, Iter:0, batch:88, time:90.21, loss:0.56
Step:89, ACC:60.28, Iter:0, batch:89, time:91.78, loss:0.54
Step:90, ACC:60.46, Iter:0, batch:90, time:92.72, loss:0.56
Step:91, ACC:60.58, Iter:0, batch:91, time:93.67, loss:0.55
Step:92, ACC:60.67, Iter:0, batch:92, time:94.69, loss:0.61
Step:93, ACC:60.85, Iter:0, batch:93, time:96.51, loss:0.49
Step:94, ACC:60.97, Iter:0, batch:94, time:97.34, loss:0.54
Step:95, ACC:61.05, Iter:0, batch:95, time:98.20, loss:0.60
Step:96, ACC:61.07, Iter:0, batch:96, time:98.89, loss:0.59
Step:97, ACC:61.07, Iter:0, batch:97, time:100.39, loss:0.65
Step:98, ACC:61.17, Iter:0, batch:98, time:101.14, loss:0.59
Step:99, ACC:61.19, Iter:0, batch:99, time:101.80, loss:0.63
Step:100, ACC:61.34, Iter:0, batch:100, time:102.62, loss:0.53
Step:101, ACC:61.35, Iter:0, batch:101, time:104.17, loss:0.62
Step:102, ACC:61.39, Iter:0, batch:102, time:104.85, loss:0.59
Step:103, ACC:61.49, Iter:0, batch:103, time:105.78, loss:0.57
Step:104, ACC:61.56, Iter:0, batch:104, time:106.45, loss:0.59
Step:105, ACC:61.62, Iter:0, batch:105, time:107.23, loss:0.57
Step:106, ACC:61.78, Iter:0, batch:106, time:108.70, loss:0.57
Step:107, ACC:61.83, Iter:0, batch:107, time:109.67, loss:0.56
Step:108, ACC:61.93, Iter:0, batch:108, time:110.41, loss:0.55
Step:109, ACC:62.00, Iter:0, batch:109, time:111.89, loss:0.53
Step:110, ACC:62.13, Iter:0, batch:110, time:112.76, loss:0.56
Step:111, ACC:62.30, Iter:0, batch:111, time:113.67, loss:0.50
Step:112, ACC:62.40, Iter:0, batch:112, time:114.37, loss:0.59
Step:113, ACC:62.46, Iter:0, batch:113, time:115.11, loss:0.60
Step:114, ACC:62.60, Iter:0, batch:114, time:116.81, loss:0.49
Step:115, ACC:62.72, Iter:0, batch:115, time:117.77, loss:0.54
Step:116, ACC:62.78, Iter:0, batch:116, time:118.65, loss:0.58
Step:117, ACC:62.79, Iter:0, batch:117, time:119.39, loss:0.62
Step:118, ACC:62.92, Iter:0, batch:118, time:120.72, loss:0.47
Step:119, ACC:63.06, Iter:0, batch:119, time:121.58, loss:0.55
Step:120, ACC:63.16, Iter:0, batch:120, time:122.18, loss:0.53
Step:121, ACC:63.27, Iter:0, batch:121, time:123.12, loss:0.49
Step:122, ACC:63.36, Iter:0, batch:122, time:124.62, loss:0.53
Step:123, ACC:63.53, Iter:0, batch:123, time:125.79, loss:0.46
Step:124, ACC:63.60, Iter:0, batch:124, time:126.84, loss:0.55
Step:125, ACC:63.67, Iter:0, batch:125, time:127.74, loss:0.52
Step:126, ACC:63.77, Iter:0, batch:126, time:129.09, loss:0.54
Step:127, ACC:63.87, Iter:0, batch:127, time:129.70, loss:0.48
Step:128, ACC:63.92, Iter:0, batch:128, time:130.56, loss:0.53
Step:129, ACC:64.06, Iter:0, batch:129, time:131.31, loss:0.45
Step:130, ACC:64.06, Iter:0, batch:130, time:132.66, loss:0.65
Step:131, ACC:64.19, Iter:0, batch:131, time:133.34, loss:0.49
Step:132, ACC:64.22, Iter:0, batch:132, time:134.35, loss:0.54
Step:133, ACC:64.30, Iter:0, batch:133, time:135.07, loss:0.48
Step:134, ACC:64.36, Iter:0, batch:134, time:136.32, loss:0.50
Step:135, ACC:64.41, Iter:0, batch:135, time:137.23, loss:0.54
Step:136, ACC:64.43, Iter:0, batch:136, time:138.31, loss:0.60
Step:137, ACC:64.52, Iter:0, batch:137, time:139.44, loss:0.47
Step:138, ACC:64.56, Iter:0, batch:138, time:140.93, loss:0.51
Step:139, ACC:64.58, Iter:0, batch:139, time:141.61, loss:0.62
Step:140, ACC:64.61, Iter:0, batch:140, time:142.44, loss:0.54
Step:141, ACC:64.65, Iter:0, batch:141, time:143.26, loss:0.54
Step:142, ACC:64.74, Iter:0, batch:142, time:144.85, loss:0.51
Step:143, ACC:64.83, Iter:0, batch:143, time:145.66, loss:0.48
Step:144, ACC:64.86, Iter:0, batch:144, time:146.71, loss:0.54
Step:145, ACC:64.95, Iter:0, batch:145, time:147.66, loss:0.43
Step:146, ACC:65.05, Iter:0, batch:146, time:149.12, loss:0.49
Step:147, ACC:65.10, Iter:0, batch:147, time:149.86, loss:0.52
Step:148, ACC:65.16, Iter:0, batch:148, time:150.60, loss:0.51
Step:149, ACC:65.26, Iter:0, batch:149, time:151.19, loss:0.48
Step:150, ACC:65.32, Iter:0, batch:150, time:151.80, loss:0.50
Step:151, ACC:65.37, Iter:0, batch:151, time:153.08, loss:0.52
Step:152, ACC:65.46, Iter:0, batch:152, time:153.63, loss:0.43
Step:153, ACC:65.51, Iter:0, batch:153, time:154.18, loss:0.50
Step:154, ACC:65.54, Iter:0, batch:154, time:154.84, loss:0.52
Step:155, ACC:65.60, Iter:0, batch:155, time:155.59, loss:0.54
Step:156, ACC:65.67, Iter:0, batch:156, time:157.30, loss:0.45
Step:157, ACC:65.68, Iter:0, batch:157, time:158.36, loss:0.52
Step:158, ACC:65.74, Iter:0, batch:158, time:159.14, loss:0.48
Step:159, ACC:65.71, Iter:0, batch:159, time:160.01, loss:0.69
Step:160, ACC:65.82, Iter:0, batch:160, time:161.62, loss:0.46
Step:161, ACC:65.83, Iter:0, batch:161, time:162.59, loss:0.59
Step:162, ACC:65.84, Iter:0, batch:162, time:163.38, loss:0.57
Step:163, ACC:65.89, Iter:0, batch:163, time:164.10, loss:0.59
Step:164, ACC:65.88, Iter:0, batch:164, time:165.76, loss:0.59
Step:165, ACC:65.91, Iter:0, batch:165, time:166.93, loss:0.51
Step:166, ACC:65.96, Iter:0, batch:166, time:167.88, loss:0.51
Step:167, ACC:66.01, Iter:0, batch:167, time:169.22, loss:0.53
Step:168, ACC:66.00, Iter:0, batch:168, time:169.84, loss:0.62
Step:169, ACC:66.05, Iter:0, batch:169, time:170.64, loss:0.50
Step:170, ACC:66.07, Iter:0, batch:170, time:171.30, loss:0.59
Step:171, ACC:66.12, Iter:0, batch:171, time:172.59, loss:0.48
Step:172, ACC:66.14, Iter:0, batch:172, time:173.26, loss:0.54
Step:173, ACC:66.23, Iter:0, batch:173, time:173.92, loss:0.47
Step:174, ACC:66.31, Iter:0, batch:174, time:174.69, loss:0.51
Step:175, ACC:66.37, Iter:0, batch:175, time:175.44, loss:0.49
Step:176, ACC:66.40, Iter:0, batch:176, time:176.78, loss:0.55
Step:177, ACC:66.42, Iter:0, batch:177, time:177.45, loss:0.57
Step:178, ACC:66.47, Iter:0, batch:178, time:178.20, loss:0.53
Step:179, ACC:66.52, Iter:0, batch:179, time:179.04, loss:0.48
Step:180, ACC:66.59, Iter:0, batch:180, time:180.48, loss:0.49
Step:181, ACC:66.60, Iter:0, batch:181, time:181.09, loss:0.58
Step:182, ACC:66.68, Iter:0, batch:182, time:181.85, loss:0.42
Step:183, ACC:66.78, Iter:0, batch:183, time:182.69, loss:0.45
Step:184, ACC:66.77, Iter:0, batch:184, time:184.19, loss:0.61
Step:185, ACC:66.83, Iter:0, batch:185, time:185.15, loss:0.52
Step:186, ACC:66.95, Iter:0, batch:186, time:186.12, loss:0.45
