Step:59, ACC:92.32, Iter:0, batch:59, time:69.79, loss:0.19
Step:60, ACC:92.21, Iter:0, batch:60, time:70.66, loss:0.41
Step:61, ACC:92.19, Iter:0, batch:61, time:72.07, loss:0.34
Step:62, ACC:92.29, Iter:0, batch:62, time:73.46, loss:0.17
Step:63, ACC:92.31, Iter:0, batch:63, time:74.52, loss:0.24
Step:64, ACC:92.31, Iter:0, batch:64, time:76.16, loss:0.28
Step:65, ACC:92.33, Iter:0, batch:65, time:76.86, loss:0.24
Step:66, ACC:92.44, Iter:0, batch:66, time:78.06, loss:0.11
Step:67, ACC:92.35, Iter:0, batch:67, time:79.10, loss:0.42
Step:68, ACC:92.35, Iter:0, batch:68, time:80.58, loss:0.23
Step:69, ACC:92.41, Iter:0, batch:69, time:81.79, loss:0.18
Step:70, ACC:92.39, Iter:0, batch:70, time:82.74, loss:0.32
Step:71, ACC:92.36, Iter:0, batch:71, time:84.08, loss:0.38
Step:72, ACC:92.40, Iter:0, batch:72, time:85.36, loss:0.19
Step:73, ACC:92.40, Iter:0, batch:73, time:86.59, loss:0.28
Step:74, ACC:92.44, Iter:0, batch:74, time:87.49, loss:0.23
Step:75, ACC:92.48, Iter:0, batch:75, time:88.82, loss:0.21
Step:76, ACC:92.45, Iter:0, batch:76, time:90.45, loss:0.32
Step:77, ACC:92.51, Iter:0, batch:77, time:91.60, loss:0.17
Step:78, ACC:92.44, Iter:0, batch:78, time:92.85, loss:0.41
Step:79, ACC:92.40, Iter:0, batch:79, time:93.68, loss:0.36
Step:80, ACC:92.40, Iter:0, batch:80, time:94.61, loss:0.24
Step:81, ACC:92.45, Iter:0, batch:81, time:95.99, loss:0.15
Step:82, ACC:92.49, Iter:0, batch:82, time:97.52, loss:0.19
Step:83, ACC:92.49, Iter:0, batch:83, time:98.73, loss:0.30
Step:84, ACC:92.50, Iter:0, batch:84, time:99.86, loss:0.27
Step:85, ACC:92.51, Iter:0, batch:85, time:100.66, loss:0.23
Step:86, ACC:92.44, Iter:0, batch:86, time:101.61, loss:0.45
Step:87, ACC:92.45, Iter:0, batch:87, time:102.75, loss:0.26
Step:88, ACC:92.45, Iter:0, batch:88, time:103.39, loss:0.28
Step:89, ACC:92.45, Iter:0, batch:89, time:104.46, loss:0.27
Step:90, ACC:92.48, Iter:0, batch:90, time:105.17, loss:0.21
Step:91, ACC:92.44, Iter:0, batch:91, time:106.55, loss:0.38
Step:92, ACC:92.42, Iter:0, batch:92, time:107.60, loss:0.35
Step:93, ACC:92.42, Iter:0, batch:93, time:108.95, loss:0.30
Step:94, ACC:92.43, Iter:0, batch:94, time:109.71, loss:0.25
Step:95, ACC:92.45, Iter:0, batch:95, time:110.69, loss:0.20
Step:96, ACC:92.48, Iter:0, batch:96, time:111.37, loss:0.19
Step:97, ACC:92.46, Iter:0, batch:97, time:112.46, loss:0.32
Step:98, ACC:92.52, Iter:0, batch:98, time:113.22, loss:0.11
Step:99, ACC:92.55, Iter:0, batch:99, time:114.20, loss:0.20
Step:100, ACC:92.61, Iter:0, batch:100, time:114.92, loss:0.11
Step:101, ACC:92.60, Iter:0, batch:101, time:116.28, loss:0.27
Step:102, ACC:92.63, Iter:0, batch:102, time:116.93, loss:0.20
Step:103, ACC:92.58, Iter:0, batch:103, time:118.07, loss:0.42
Step:104, ACC:92.62, Iter:0, batch:104, time:118.93, loss:0.17
Step:105, ACC:92.60, Iter:0, batch:105, time:120.09, loss:0.38
Step:106, ACC:92.64, Iter:0, batch:106, time:120.90, loss:0.15
Step:107, ACC:92.61, Iter:0, batch:107, time:121.92, loss:0.42
Step:108, ACC:92.65, Iter:0, batch:108, time:122.70, loss:0.16
Step:109, ACC:92.71, Iter:0, batch:109, time:123.77, loss:0.07
Step:110, ACC:92.71, Iter:0, batch:110, time:124.92, loss:0.29
Step:111, ACC:92.70, Iter:0, batch:111, time:125.97, loss:0.26
Step:112, ACC:92.70, Iter:0, batch:112, time:127.08, loss:0.30
Step:113, ACC:92.65, Iter:0, batch:113, time:127.87, loss:0.37
Step:114, ACC:92.64, Iter:0, batch:114, time:128.66, loss:0.29
Step:115, ACC:92.65, Iter:0, batch:115, time:129.57, loss:0.25
Step:116, ACC:92.65, Iter:0, batch:116, time:130.42, loss:0.27
Step:117, ACC:92.70, Iter:0, batch:117, time:131.53, loss:0.14
Step:118, ACC:92.74, Iter:0, batch:118, time:132.57, loss:0.15
Step:119, ACC:92.75, Iter:0, batch:119, time:133.42, loss:0.24
Step:120, ACC:92.76, Iter:0, batch:120, time:134.64, loss:0.22
Step:121, ACC:92.74, Iter:0, batch:121, time:135.53, loss:0.31
Step:122, ACC:92.75, Iter:0, batch:122, time:136.41, loss:0.25
Step:123, ACC:92.79, Iter:0, batch:123, time:137.69, loss:0.13
Step:124, ACC:92.82, Iter:0, batch:124, time:138.48, loss:0.16
Step:125, ACC:92.83, Iter:0, batch:125, time:139.60, loss:0.27
Step:126, ACC:92.81, Iter:0, batch:126, time:140.52, loss:0.30
Step:127, ACC:92.80, Iter:0, batch:127, time:141.99, loss:0.34
Step:128, ACC:92.83, Iter:0, batch:128, time:143.43, loss:0.15
Step:129, ACC:92.85, Iter:0, batch:129, time:144.53, loss:0.18
Step:130, ACC:92.87, Iter:0, batch:130, time:145.96, loss:0.19
Step:131, ACC:92.87, Iter:0, batch:131, time:147.32, loss:0.26
Step:132, ACC:92.83, Iter:0, batch:132, time:148.36, loss:0.45
Step:133, ACC:92.84, Iter:0, batch:133, time:149.43, loss:0.25
Step:134, ACC:92.82, Iter:0, batch:134, time:150.24, loss:0.35
Step:135, ACC:92.82, Iter:0, batch:135, time:151.35, loss:0.27
Step:136, ACC:92.85, Iter:0, batch:136, time:152.04, loss:0.13
Step:137, ACC:92.86, Iter:0, batch:137, time:152.98, loss:0.26
Step:138, ACC:92.82, Iter:0, batch:138, time:153.69, loss:0.39
Step:139, ACC:92.82, Iter:0, batch:139, time:154.56, loss:0.22
Step:140, ACC:92.84, Iter:0, batch:140, time:155.18, loss:0.19
Step:141, ACC:92.85, Iter:0, batch:141, time:156.00, loss:0.24
Step:142, ACC:92.85, Iter:0, batch:142, time:156.69, loss:0.21
Step:143, ACC:92.89, Iter:0, batch:143, time:157.59, loss:0.11
Step:144, ACC:92.92, Iter:0, batch:144, time:158.45, loss:0.13
Step:145, ACC:92.94, Iter:0, batch:145, time:159.59, loss:0.15
Step:146, ACC:92.92, Iter:0, batch:146, time:160.43, loss:0.30
Step:147, ACC:92.95, Iter:0, batch:147, time:161.50, loss:0.12
Step:148, ACC:92.92, Iter:0, batch:148, time:162.28, loss:0.36
Step:149, ACC:92.92, Iter:0, batch:149, time:162.99, loss:0.25
Step:150, ACC:92.94, Iter:0, batch:150, time:164.16, loss:0.13
Step:151, ACC:92.95, Iter:0, batch:151, time:165.06, loss:0.22
Step:152, ACC:92.91, Iter:0, batch:152, time:165.96, loss:0.39
Step:153, ACC:92.94, Iter:0, batch:153, time:167.12, loss:0.15
Step:154, ACC:92.97, Iter:0, batch:154, time:167.91, loss:0.09
Step:155, ACC:92.97, Iter:0, batch:155, time:169.02, loss:0.31
Step:156, ACC:92.97, Iter:0, batch:156, time:169.82, loss:0.21
Step:157, ACC:92.99, Iter:0, batch:157, time:171.01, loss:0.17
Step:158, ACC:93.00, Iter:0, batch:158, time:171.75, loss:0.20
Step:159, ACC:93.01, Iter:0, batch:159, time:172.62, loss:0.23
Step:160, ACC:93.01, Iter:0, batch:160, time:174.10, loss:0.28
Step:161, ACC:93.03, Iter:0, batch:161, time:175.11, loss:0.22
Step:162, ACC:93.04, Iter:0, batch:162, time:176.32, loss:0.16
Step:163, ACC:93.07, Iter:0, batch:163, time:177.58, loss:0.10
Step:164, ACC:93.05, Iter:0, batch:164, time:178.49, loss:0.35
Step:165, ACC:93.06, Iter:0, batch:165, time:179.63, loss:0.17
Step:166, ACC:93.07, Iter:0, batch:166, time:180.59, loss:0.24
