Step:59, ACC:55.26, Iter:0, batch:59, time:71.87, loss:0.58
Step:60, ACC:55.40, Iter:0, batch:60, time:72.83, loss:0.63
Step:61, ACC:55.75, Iter:0, batch:61, time:73.97, loss:0.58
Step:62, ACC:55.73, Iter:0, batch:62, time:75.85, loss:0.65
Step:63, ACC:55.83, Iter:0, batch:63, time:76.84, loss:0.66
Step:64, ACC:55.84, Iter:0, batch:64, time:78.05, loss:0.66
Step:65, ACC:55.99, Iter:0, batch:65, time:79.23, loss:0.66
Step:66, ACC:56.02, Iter:0, batch:66, time:80.87, loss:0.65
Step:67, ACC:56.34, Iter:0, batch:67, time:81.89, loss:0.57
Step:68, ACC:56.50, Iter:0, batch:68, time:82.69, loss:0.62
Step:69, ACC:56.70, Iter:0, batch:69, time:83.73, loss:0.61
Step:70, ACC:56.95, Iter:0, batch:70, time:85.63, loss:0.61
Step:71, ACC:57.05, Iter:0, batch:71, time:86.51, loss:0.60
Step:72, ACC:57.17, Iter:0, batch:72, time:87.38, loss:0.60
Step:73, ACC:57.37, Iter:0, batch:73, time:88.18, loss:0.58
Step:74, ACC:57.42, Iter:0, batch:74, time:88.80, loss:0.60
Step:75, ACC:57.52, Iter:0, batch:75, time:90.50, loss:0.62
Step:76, ACC:57.59, Iter:0, batch:76, time:91.28, loss:0.60
Step:77, ACC:57.57, Iter:0, batch:77, time:91.99, loss:0.63
Step:78, ACC:57.79, Iter:0, batch:78, time:92.81, loss:0.58
Step:79, ACC:57.89, Iter:0, batch:79, time:93.40, loss:0.61
Step:80, ACC:57.97, Iter:0, batch:80, time:94.42, loss:0.58
Step:81, ACC:58.23, Iter:0, batch:81, time:96.46, loss:0.54
Step:82, ACC:58.41, Iter:0, batch:82, time:97.73, loss:0.57
Step:83, ACC:58.56, Iter:0, batch:83, time:98.68, loss:0.62
Step:84, ACC:58.79, Iter:0, batch:84, time:99.49, loss:0.49
Step:85, ACC:58.85, Iter:0, batch:85, time:101.30, loss:0.56
Step:86, ACC:59.00, Iter:0, batch:86, time:102.11, loss:0.57
Step:87, ACC:59.22, Iter:0, batch:87, time:102.73, loss:0.53
Step:88, ACC:59.38, Iter:0, batch:88, time:103.42, loss:0.53
Step:89, ACC:59.53, Iter:0, batch:89, time:104.39, loss:0.57
Step:90, ACC:59.65, Iter:0, batch:90, time:106.16, loss:0.54
Step:91, ACC:59.85, Iter:0, batch:91, time:106.73, loss:0.54
Step:92, ACC:59.95, Iter:0, batch:92, time:107.35, loss:0.61
Step:93, ACC:60.09, Iter:0, batch:93, time:108.13, loss:0.50
Step:94, ACC:60.25, Iter:0, batch:94, time:108.87, loss:0.60
Step:95, ACC:60.32, Iter:0, batch:95, time:109.57, loss:0.60
Step:96, ACC:60.42, Iter:0, batch:96, time:111.29, loss:0.53
Step:97, ACC:60.54, Iter:0, batch:97, time:112.18, loss:0.53
Step:98, ACC:60.70, Iter:0, batch:98, time:113.05, loss:0.52
Step:99, ACC:60.86, Iter:0, batch:99, time:113.92, loss:0.56
Step:100, ACC:61.03, Iter:0, batch:100, time:114.73, loss:0.52
Step:101, ACC:61.21, Iter:0, batch:101, time:116.42, loss:0.49
Step:102, ACC:61.23, Iter:0, batch:102, time:117.22, loss:0.59
Step:103, ACC:61.39, Iter:0, batch:103, time:118.27, loss:0.51
Step:104, ACC:61.46, Iter:0, batch:104, time:118.98, loss:0.61
Step:105, ACC:61.63, Iter:0, batch:105, time:120.82, loss:0.50
Step:106, ACC:61.83, Iter:0, batch:106, time:121.80, loss:0.47
Step:107, ACC:61.94, Iter:0, batch:107, time:122.64, loss:0.53
Step:108, ACC:62.07, Iter:0, batch:108, time:123.38, loss:0.54
Step:109, ACC:62.14, Iter:0, batch:109, time:124.35, loss:0.63
Step:110, ACC:62.18, Iter:0, batch:110, time:126.32, loss:0.60
Step:111, ACC:62.23, Iter:0, batch:111, time:126.99, loss:0.58
Step:112, ACC:62.33, Iter:0, batch:112, time:127.68, loss:0.50
Step:113, ACC:62.40, Iter:0, batch:113, time:128.39, loss:0.52
Step:114, ACC:62.47, Iter:0, batch:114, time:129.01, loss:0.56
Step:115, ACC:62.55, Iter:0, batch:115, time:130.85, loss:0.52
Step:116, ACC:62.62, Iter:0, batch:116, time:131.54, loss:0.59
Step:117, ACC:62.66, Iter:0, batch:117, time:132.41, loss:0.65
Step:118, ACC:62.84, Iter:0, batch:118, time:133.46, loss:0.46
Step:119, ACC:62.96, Iter:0, batch:119, time:135.97, loss:0.50
Step:120, ACC:63.06, Iter:0, batch:120, time:137.29, loss:0.54
Step:121, ACC:63.17, Iter:0, batch:121, time:138.17, loss:0.50
Step:122, ACC:63.15, Iter:0, batch:122, time:139.14, loss:0.62
Step:123, ACC:63.22, Iter:0, batch:123, time:139.94, loss:0.57
Step:124, ACC:63.35, Iter:0, batch:124, time:142.06, loss:0.47
Step:125, ACC:63.45, Iter:0, batch:125, time:142.81, loss:0.53
Step:126, ACC:63.57, Iter:0, batch:126, time:143.47, loss:0.47
Step:127, ACC:63.65, Iter:0, batch:127, time:144.31, loss:0.55
Step:128, ACC:63.71, Iter:0, batch:128, time:144.94, loss:0.56
Step:129, ACC:63.76, Iter:0, batch:129, time:146.55, loss:0.53
Step:130, ACC:63.82, Iter:0, batch:130, time:147.42, loss:0.51
Step:131, ACC:63.84, Iter:0, batch:131, time:148.31, loss:0.60
Step:132, ACC:63.92, Iter:0, batch:132, time:148.87, loss:0.50
Step:133, ACC:64.00, Iter:0, batch:133, time:149.99, loss:0.54
Step:134, ACC:64.10, Iter:0, batch:134, time:151.90, loss:0.49
Step:135, ACC:64.15, Iter:0, batch:135, time:152.56, loss:0.51
Step:136, ACC:64.10, Iter:0, batch:136, time:153.30, loss:0.57
Step:137, ACC:64.14, Iter:0, batch:137, time:154.05, loss:0.54
Step:138, ACC:64.20, Iter:0, batch:138, time:154.90, loss:0.51
Step:139, ACC:64.23, Iter:0, batch:139, time:156.52, loss:0.57
Step:140, ACC:64.28, Iter:0, batch:140, time:157.39, loss:0.58
Step:141, ACC:64.40, Iter:0, batch:141, time:158.03, loss:0.48
Step:142, ACC:64.50, Iter:0, batch:142, time:158.85, loss:0.53
Step:143, ACC:64.58, Iter:0, batch:143, time:159.76, loss:0.49
Step:144, ACC:64.67, Iter:0, batch:144, time:161.95, loss:0.51
Step:145, ACC:64.72, Iter:0, batch:145, time:162.84, loss:0.56
Step:146, ACC:64.83, Iter:0, batch:146, time:163.78, loss:0.52
