,NOIf,NOS,NOV,MDOA,NOL,CC,NOD,HD,HV,HE,NM,NOE,NOC,NOIter,NONo,NONK,MDON,SODON,MW,NONe,LC,FC,BC
NM,2.3668466617605698e-60,1.1031853652375805e-177,1.3699030354152053e-33,3.693342220647413e-96,1.4203795190116295e-208,8.337595439406606e-269,0.2898371599210581,8.008017251471294e-237,2.041202238311559e-195,1.6446593135273187e-152,0.0,7.751786436828903e-97,0.20217641055275196,5.409765929282008e-38,1.3221459413930743e-172,3.266958449342614e-109,1.1061723079063116e-07,3.18090146365069e-84,2.8668892590498082e-129,1.3191273563719031e-94,2.0022000739339693e-31,5.266313209158142e-30,1.5927514738995347e-35
NOE,2.391616516312193e-26,2.6153679602070544e-284,1.0,7.315415443746045e-41,1.798634568958173e-193,2.4901137351334954e-106,1.0,9.57982098718705e-106,4.7946965027090475e-104,7.114592864384852e-89,7.751786436828903e-97,0.0,2.7721657602594652e-08,1.2659206364538567e-29,1.2764107405251458e-225,2.2211582249339217e-53,0.008535641201547234,3.368164702412847e-52,6.458454358825234e-211,1.6869949030011135e-85,2.0000087061447487e-11,8.388205329822807e-10,1.9161302439362543e-14
NOC,1.0,1.3910826183303712e-06,0.25420189968548645,0.0009038452440834641,0.6788747635427594,0.7277242673714074,1.0,1.0,1.0,1.0,0.20217641055275196,2.7721657602594652e-08,0.0,1.0,0.0001618677588841294,2.333296404843859e-14,0.13845915470017547,1.0,0.0056985147978300425,1.0,1.0,1.0,0.9198583729316386
NOIter,1.0074593146471064e-19,2.9625088628571773e-74,2.9759751830845174e-56,2.1930414169108096e-18,2.3291414900086533e-56,2.747024920270521e-91,1.0,1.38300121318858e-50,4.1059462528000667e-41,7.339074072059186e-41,5.409765929282008e-38,1.2659206364538567e-29,1.0,0.0,3.37860300676462e-63,1.794510593875328e-56,1.3135672184990253e-49,2.9464844027694664e-189,1.573996864716454e-64,6.132655229372554e-164,4.259866503529342e-91,4.132832573628134e-87,4.7695754632004093e-94
NONo,6.56682079157197e-116,0.0,8.916465157871153e-69,1.76925732730092e-94,0.0,3.4369774628446465e-241,1.0,5.592404343484524e-186,3.3309908790592106e-188,4.178527863800217e-161,1.3221459413930743e-172,1.2764107405251458e-225,0.0001618677588841294,3.37860300676462e-63,0.0,1.9561242043133988e-179,4.830196913132383e-16,8.179785915188626e-166,0.0,4.905204586653349e-173,5.925951908650278e-35,1.108008167831725e-31,1.1406397020881206e-39
NONK,2.690300453285292e-104,1.0050948339289895e-150,3.5306837168935706e-104,7.638551682525643e-134,9.49575061764574e-164,7.050554202035837e-150,0.9907992171457771,3.617797746611899e-111,2.867198257346995e-103,4.228807269751049e-97,3.266958449342614e-109,2.2211582249339217e-53,2.333296404843859e-14,1.794510593875328e-56,1.9561242043133988e-179,0.0,9.508096973789396e-44,5.033287286845345e-132,3.868053213901875e-117,1.6618473928071342e-120,9.579566684956701e-50,4.812504804702762e-45,1.8461671318386297e-54
MDON,2.8651548843590167e-97,3.6919853887505777e-17,6.480181271382039e-65,1.2310623502116354e-16,7.374772171375293e-22,8.980767390160635e-39,1.0,6.526413016244694e-12,1.0150203390509296e-14,4.132412906919448e-17,1.1061723079063116e-07,0.008535641201547234,0.13845915470017547,1.3135672184990253e-49,4.830196913132383e-16,9.508096973789396e-44,0.0,5.0586790901060155e-89,4.646032521423103e-10,2.706563977374535e-22,2.1836642242480996e-25,4.9625118065687185e-26,3.12801375165142e-24
SODON,5.564092242344897e-238,6.107332879684282e-188,5.5636069610113005e-87,8.387466133798321e-56,1.032258651328964e-178,1.4684323513065366e-256,1.0,7.058328198956643e-122,1.615645563143828e-113,1.5312192877031516e-111,3.18090146365069e-84,3.368164702412847e-52,1.0,2.9464844027694664e-189,8.179785915188626e-166,5.033287286845345e-132,5.0586790901060155e-89,0.0,1.3599958413903035e-143,0.0,1.6346639296651774e-65,2.3517690288422603e-62,6.14569331200911e-69
MW,6.182498387399754e-90,0.0,1.3949520834166745e-56,7.856151921773286e-36,0.0,1.4293642267850796e-183,1.0,2.2150197144651022e-125,9.595989563904806e-129,4.872900464765005e-108,2.8668892590498082e-129,6.458454358825234e-211,0.0056985147978300425,1.573996864716454e-64,0.0,3.868053213901875e-117,4.646032521423103e-10,1.3599958413903035e-143,0.0,1.265070030043941e-159,1.0393986914251861e-27,7.599711283822144e-25,5.811463279067869e-31
NONe,5.603512886517644e-183,2.6954697498741463e-198,7.751562280701821e-61,4.0575817054668015e-50,3.6207554398412335e-182,4.522681634002964e-247,1.0,5.650566847932571e-135,7.5977471785271564e-121,3.5780605439050716e-117,1.3191273563719031e-94,1.6869949030011135e-85,1.0,6.132655229372554e-164,4.905204586653349e-173,1.6618473928071342e-120,2.706563977374535e-22,0.0,1.265070030043941e-159,0.0,3.1850899014832324e-62,7.466164172707108e-59,1.5860866622768905e-66
LC,1.5335732932098192e-15,1.257268913629783e-34,6.415816246082271e-24,1.0123768720162341e-10,1.6654104965695853e-33,1.6235277232171488e-43,1.0,2.4905940479647672e-29,4.492788311234068e-28,4.7237251629848015e-25,2.0022000739339693e-31,2.0000087061447487e-11,1.0,4.259866503529342e-91,5.925951908650278e-35,9.579566684956701e-50,2.1836642242480996e-25,1.6346639296651774e-65,1.0393986914251861e-27,3.1850899014832324e-62,0.0,0.0,0.0
FC,6.8778969777404844e-15,4.934054153360654e-32,1.6970623095912776e-23,5.935069369936946e-10,2.404439328705427e-31,1.9521283542840642e-41,1.0,2.1882746267940973e-27,2.924192775691341e-26,1.4862066727365544e-23,5.266313209158142e-30,8.388205329822807e-10,1.0,4.132832573628134e-87,1.108008167831725e-31,4.812504804702762e-45,4.9625118065687185e-26,2.3517690288422603e-62,7.599711283822144e-25,7.466164172707108e-59,0.0,0.0,0.0
BC,8.967377593778645e-17,1.1190261573040767e-39,3.349180588066831e-25,3.1030782342767847e-13,1.519970428131383e-37,1.7829381392237396e-48,1.0,3.636700770492058e-34,1.454059774804349e-32,2.3394473293308293e-29,1.5927514738995347e-35,1.9161302439362543e-14,0.9198583729316386,4.7695754632004093e-94,1.1406397020881206e-39,1.8461671318386297e-54,3.12801375165142e-24,6.14569331200911e-69,5.811463279067869e-31,1.5860866622768905e-66,0.0,0.0,0.0
