Step:59, ACC:55.65, Iter:0, batch:59, time:64.05, loss:0.57
Step:60, ACC:55.92, Iter:0, batch:60, time:65.53, loss:0.58
Step:61, ACC:56.15, Iter:0, batch:61, time:66.64, loss:0.59
Step:62, ACC:56.40, Iter:0, batch:62, time:67.50, loss:0.56
Step:63, ACC:56.62, Iter:0, batch:63, time:69.10, loss:0.54
Step:64, ACC:56.68, Iter:0, batch:64, time:70.13, loss:0.61
Step:65, ACC:56.82, Iter:0, batch:65, time:71.18, loss:0.58
Step:66, ACC:57.16, Iter:0, batch:66, time:72.15, loss:0.51
Step:67, ACC:57.47, Iter:0, batch:67, time:73.94, loss:0.53
Step:68, ACC:57.61, Iter:0, batch:68, time:74.62, loss:0.56
Step:69, ACC:57.66, Iter:0, batch:69, time:75.45, loss:0.66
Step:70, ACC:57.86, Iter:0, batch:70, time:76.85, loss:0.52
Step:71, ACC:58.20, Iter:0, batch:71, time:77.54, loss:0.53
Step:72, ACC:58.45, Iter:0, batch:72, time:78.41, loss:0.51
Step:73, ACC:58.70, Iter:0, batch:73, time:79.10, loss:0.59
Step:74, ACC:58.94, Iter:0, batch:74, time:80.63, loss:0.52
Step:75, ACC:58.94, Iter:0, batch:75, time:81.37, loss:0.66
Step:76, ACC:59.09, Iter:0, batch:76, time:82.48, loss:0.57
Step:77, ACC:59.23, Iter:0, batch:77, time:83.26, loss:0.56
Step:78, ACC:59.32, Iter:0, batch:78, time:84.62, loss:0.56
Step:79, ACC:59.32, Iter:0, batch:79, time:85.26, loss:0.66
Step:80, ACC:59.49, Iter:0, batch:80, time:86.16, loss:0.52
Step:81, ACC:59.66, Iter:0, batch:81, time:87.76, loss:0.57
Step:82, ACC:59.79, Iter:0, batch:82, time:88.50, loss:0.57
Step:83, ACC:59.97, Iter:0, batch:83, time:89.30, loss:0.55
Step:84, ACC:60.11, Iter:0, batch:84, time:89.91, loss:0.57
Step:85, ACC:60.23, Iter:0, batch:85, time:90.59, loss:0.58
Step:86, ACC:60.45, Iter:0, batch:86, time:92.11, loss:0.51
Step:87, ACC:60.58, Iter:0, batch:87, time:93.11, loss:0.55
Step:88, ACC:60.69, Iter:0, batch:88, time:94.16, loss:0.65
Step:89, ACC:60.73, Iter:0, batch:89, time:95.03, loss:0.58
Step:90, ACC:60.83, Iter:0, batch:90, time:96.61, loss:0.53
Step:91, ACC:60.94, Iter:0, batch:91, time:97.41, loss:0.54
Step:92, ACC:60.97, Iter:0, batch:92, time:98.47, loss:0.59
Step:93, ACC:60.97, Iter:0, batch:93, time:100.09, loss:0.63
Step:94, ACC:61.12, Iter:0, batch:94, time:101.10, loss:0.54
Step:95, ACC:61.23, Iter:0, batch:95, time:101.82, loss:0.57
Step:96, ACC:61.39, Iter:0, batch:96, time:102.62, loss:0.53
Step:97, ACC:61.56, Iter:0, batch:97, time:104.04, loss:0.54
Step:98, ACC:61.66, Iter:0, batch:98, time:104.94, loss:0.58
Step:99, ACC:61.72, Iter:0, batch:99, time:105.69, loss:0.58
Step:100, ACC:61.85, Iter:0, batch:100, time:107.19, loss:0.55
Step:101, ACC:61.92, Iter:0, batch:101, time:108.07, loss:0.60
Step:102, ACC:61.92, Iter:0, batch:102, time:108.70, loss:0.63
Step:103, ACC:62.05, Iter:0, batch:103, time:109.26, loss:0.52
Step:104, ACC:62.19, Iter:0, batch:104, time:110.00, loss:0.55
Step:105, ACC:62.38, Iter:0, batch:105, time:111.28, loss:0.51
Step:106, ACC:62.47, Iter:0, batch:106, time:112.16, loss:0.49
Step:107, ACC:62.66, Iter:0, batch:107, time:113.09, loss:0.48
Step:108, ACC:62.87, Iter:0, batch:108, time:115.34, loss:0.46
Step:109, ACC:62.97, Iter:0, batch:109, time:116.41, loss:0.51
Step:110, ACC:63.09, Iter:0, batch:110, time:117.58, loss:0.50
Step:111, ACC:63.24, Iter:0, batch:111, time:119.15, loss:0.48
Step:112, ACC:63.30, Iter:0, batch:112, time:120.00, loss:0.52
Step:113, ACC:63.34, Iter:0, batch:113, time:120.72, loss:0.60
Step:114, ACC:63.42, Iter:0, batch:114, time:122.07, loss:0.50
Step:115, ACC:63.52, Iter:0, batch:115, time:122.88, loss:0.46
Step:116, ACC:63.54, Iter:0, batch:116, time:123.72, loss:0.58
Step:117, ACC:63.65, Iter:0, batch:117, time:124.75, loss:0.52
Step:118, ACC:63.76, Iter:0, batch:118, time:126.15, loss:0.49
Step:119, ACC:63.92, Iter:0, batch:119, time:127.09, loss:0.45
Step:120, ACC:64.02, Iter:0, batch:120, time:128.12, loss:0.48
Step:121, ACC:64.11, Iter:0, batch:121, time:129.08, loss:0.50
Step:122, ACC:64.32, Iter:0, batch:122, time:130.60, loss:0.41
Step:123, ACC:64.39, Iter:0, batch:123, time:131.59, loss:0.51
Step:124, ACC:64.51, Iter:0, batch:124, time:132.66, loss:0.43
Step:125, ACC:64.62, Iter:0, batch:125, time:134.26, loss:0.44
Step:126, ACC:64.69, Iter:0, batch:126, time:135.04, loss:0.58
Step:127, ACC:64.79, Iter:0, batch:127, time:135.83, loss:0.52
Step:128, ACC:64.86, Iter:0, batch:128, time:136.54, loss:0.48
Step:129, ACC:64.94, Iter:0, batch:129, time:138.15, loss:0.46
Step:130, ACC:65.02, Iter:0, batch:130, time:138.96, loss:0.53
Step:131, ACC:65.09, Iter:0, batch:131, time:139.68, loss:0.45
Step:132, ACC:65.24, Iter:0, batch:132, time:141.09, loss:0.41
Step:133, ACC:65.29, Iter:0, batch:133, time:141.76, loss:0.55
Step:134, ACC:65.38, Iter:0, batch:134, time:142.70, loss:0.50
Step:135, ACC:65.45, Iter:0, batch:135, time:143.45, loss:0.49
Step:136, ACC:65.51, Iter:0, batch:136, time:144.83, loss:0.59
Step:137, ACC:65.56, Iter:0, batch:137, time:145.49, loss:0.50
Step:138, ACC:65.62, Iter:0, batch:138, time:146.40, loss:0.55
Step:139, ACC:65.74, Iter:0, batch:139, time:147.72, loss:0.50
Step:140, ACC:65.85, Iter:0, batch:140, time:148.47, loss:0.50
Step:141, ACC:65.88, Iter:0, batch:141, time:149.14, loss:0.50
Step:142, ACC:65.96, Iter:0, batch:142, time:150.17, loss:0.49
Step:143, ACC:66.09, Iter:0, batch:143, time:151.51, loss:0.42
Step:144, ACC:66.15, Iter:0, batch:144, time:152.23, loss:0.55
Step:145, ACC:66.32, Iter:0, batch:145, time:153.15, loss:0.40
Step:146, ACC:66.40, Iter:0, batch:146, time:154.15, loss:0.57
Step:147, ACC:66.44, Iter:0, batch:147, time:155.76, loss:0.50
Step:148, ACC:66.54, Iter:0, batch:148, time:156.45, loss:0.46
Step:149, ACC:66.56, Iter:0, batch:149, time:157.44, loss:0.57
Step:150, ACC:66.57, Iter:0, batch:150, time:158.85, loss:0.53
Step:151, ACC:66.67, Iter:0, batch:151, time:159.70, loss:0.41
Step:152, ACC:66.78, Iter:0, batch:152, time:160.58, loss:0.47
Step:153, ACC:66.85, Iter:0, batch:153, time:162.18, loss:0.47
Step:154, ACC:66.89, Iter:0, batch:154, time:163.22, loss:0.54
Step:155, ACC:66.96, Iter:0, batch:155, time:164.13, loss:0.45
Step:156, ACC:67.05, Iter:0, batch:156, time:165.02, loss:0.45
Step:157, ACC:67.11, Iter:0, batch:157, time:166.60, loss:0.48
Step:158, ACC:67.23, Iter:0, batch:158, time:167.76, loss:0.40
Step:159, ACC:67.28, Iter:0, batch:159, time:168.51, loss:0.47
Step:160, ACC:67.34, Iter:0, batch:160, time:169.28, loss:0.52
Step:161, ACC:67.46, Iter:0, batch:161, time:170.60, loss:0.38
Step:162, ACC:67.53, Iter:0, batch:162, time:171.36, loss:0.45
Step:163, ACC:67.55, Iter:0, batch:163, time:171.96, loss:0.58
Step:164, ACC:67.56, Iter:0, batch:164, time:172.68, loss:0.55
Step:165, ACC:67.66, Iter:0, batch:165, time:174.24, loss:0.37
Step:166, ACC:67.70, Iter:0, batch:166, time:175.01, loss:0.55
Step:167, ACC:67.74, Iter:0, batch:167, time:175.58, loss:0.50
Step:168, ACC:67.83, Iter:0, batch:168, time:176.94, loss:0.46
Step:169, ACC:67.90, Iter:0, batch:169, time:177.78, loss:0.47
Step:170, ACC:67.96, Iter:0, batch:170, time:178.64, loss:0.39
Step:171, ACC:67.98, Iter:0, batch:171, time:179.55, loss:0.52
Step:172, ACC:68.07, Iter:0, batch:172, time:181.08, loss:0.39
Step:173, ACC:68.11, Iter:0, batch:173, time:182.06, loss:0.51
Step:174, ACC:68.21, Iter:0, batch:174, time:183.11, loss:0.44
Step:175, ACC:68.24, Iter:0, batch:175, time:184.77, loss:0.54
Step:176, ACC:68.27, Iter:0, batch:176, time:185.53, loss:0.56
