Step:59, ACC:92.59, Iter:0, batch:59, time:51.88, loss:0.20
Step:60, ACC:92.63, Iter:0, batch:60, time:52.71, loss:0.21
Step:61, ACC:92.52, Iter:0, batch:61, time:53.42, loss:0.41
Step:62, ACC:92.54, Iter:0, batch:62, time:54.20, loss:0.25
Step:63, ACC:92.54, Iter:0, batch:63, time:54.92, loss:0.30
Step:64, ACC:92.53, Iter:0, batch:64, time:55.55, loss:0.26
Step:65, ACC:92.58, Iter:0, batch:65, time:56.34, loss:0.17
Step:66, ACC:92.57, Iter:0, batch:66, time:57.26, loss:0.28
Step:67, ACC:92.49, Iter:0, batch:67, time:58.30, loss:0.40
Step:68, ACC:92.49, Iter:0, batch:68, time:59.44, loss:0.28
Step:69, ACC:92.49, Iter:0, batch:69, time:60.44, loss:0.28
Step:70, ACC:92.53, Iter:0, batch:70, time:61.14, loss:0.21
Step:71, ACC:92.61, Iter:0, batch:71, time:61.98, loss:0.14
Step:72, ACC:92.58, Iter:0, batch:72, time:62.78, loss:0.35
Step:73, ACC:92.55, Iter:0, batch:73, time:63.87, loss:0.28
Step:74, ACC:92.61, Iter:0, batch:74, time:64.85, loss:0.15
Step:75, ACC:92.61, Iter:0, batch:75, time:65.75, loss:0.25
Step:76, ACC:92.64, Iter:0, batch:76, time:66.34, loss:0.18
Step:77, ACC:92.66, Iter:0, batch:77, time:67.25, loss:0.23
Step:78, ACC:92.69, Iter:0, batch:78, time:68.28, loss:0.20
Step:79, ACC:92.70, Iter:0, batch:79, time:69.08, loss:0.22
Step:80, ACC:92.64, Iter:0, batch:80, time:69.80, loss:0.44
Step:81, ACC:92.67, Iter:0, batch:81, time:70.81, loss:0.18
Step:82, ACC:92.65, Iter:0, batch:82, time:71.41, loss:0.33
Step:83, ACC:92.68, Iter:0, batch:83, time:72.18, loss:0.22
Step:84, ACC:92.77, Iter:0, batch:84, time:72.83, loss:0.06
Step:85, ACC:92.78, Iter:0, batch:85, time:73.71, loss:0.27
Step:86, ACC:92.81, Iter:0, batch:86, time:74.45, loss:0.24
Step:87, ACC:92.85, Iter:0, batch:87, time:75.35, loss:0.16
Step:88, ACC:92.85, Iter:0, batch:88, time:76.36, loss:0.28
Step:89, ACC:92.86, Iter:0, batch:89, time:77.60, loss:0.22
Step:90, ACC:92.87, Iter:0, batch:90, time:78.31, loss:0.20
Step:91, ACC:92.84, Iter:0, batch:91, time:79.21, loss:0.29
Step:92, ACC:92.82, Iter:0, batch:92, time:80.01, loss:0.32
Step:93, ACC:92.79, Iter:0, batch:93, time:80.67, loss:0.30
Step:94, ACC:92.80, Iter:0, batch:94, time:81.39, loss:0.24
Step:95, ACC:92.80, Iter:0, batch:95, time:82.39, loss:0.27
Step:96, ACC:92.78, Iter:0, batch:96, time:83.14, loss:0.33
Step:97, ACC:92.77, Iter:0, batch:97, time:83.98, loss:0.28
Step:98, ACC:92.80, Iter:0, batch:98, time:84.71, loss:0.17
Step:99, ACC:92.82, Iter:0, batch:99, time:85.54, loss:0.19
Step:100, ACC:92.81, Iter:0, batch:100, time:86.41, loss:0.30
Step:101, ACC:92.81, Iter:0, batch:101, time:87.09, loss:0.27
Step:102, ACC:92.83, Iter:0, batch:102, time:87.76, loss:0.21
Step:103, ACC:92.84, Iter:0, batch:103, time:88.69, loss:0.22
Step:104, ACC:92.87, Iter:0, batch:104, time:89.41, loss:0.18
Step:105, ACC:92.90, Iter:0, batch:105, time:90.43, loss:0.16
Step:106, ACC:92.91, Iter:0, batch:106, time:91.32, loss:0.22
Step:107, ACC:92.89, Iter:0, batch:107, time:92.41, loss:0.27
Step:108, ACC:92.94, Iter:0, batch:108, time:93.17, loss:0.11
Step:109, ACC:92.96, Iter:0, batch:109, time:93.88, loss:0.20
Step:110, ACC:92.96, Iter:0, batch:110, time:94.78, loss:0.27
Step:111, ACC:92.99, Iter:0, batch:111, time:95.65, loss:0.15
Step:112, ACC:92.98, Iter:0, batch:112, time:96.50, loss:0.30
Step:113, ACC:92.96, Iter:0, batch:113, time:97.49, loss:0.33
Step:114, ACC:92.92, Iter:0, batch:114, time:98.31, loss:0.37
Step:115, ACC:92.92, Iter:0, batch:115, time:99.25, loss:0.23
Step:116, ACC:92.92, Iter:0, batch:116, time:100.10, loss:0.28
Step:117, ACC:92.92, Iter:0, batch:117, time:100.99, loss:0.21
Step:118, ACC:92.94, Iter:0, batch:118, time:101.79, loss:0.26
Step:119, ACC:92.92, Iter:0, batch:119, time:102.68, loss:0.32
Step:120, ACC:92.96, Iter:0, batch:120, time:103.31, loss:0.15
Step:121, ACC:93.00, Iter:0, batch:121, time:104.19, loss:0.12
Step:122, ACC:93.00, Iter:0, batch:122, time:105.19, loss:0.31
Step:123, ACC:93.01, Iter:0, batch:123, time:105.89, loss:0.25
Step:124, ACC:93.02, Iter:0, batch:124, time:106.93, loss:0.24
Step:125, ACC:92.96, Iter:0, batch:125, time:107.78, loss:0.41
Step:126, ACC:93.01, Iter:0, batch:126, time:108.60, loss:0.12
Step:127, ACC:93.01, Iter:0, batch:127, time:109.31, loss:0.23
Step:128, ACC:93.03, Iter:0, batch:128, time:110.08, loss:0.19
Step:129, ACC:93.07, Iter:0, batch:129, time:110.80, loss:0.11
Step:130, ACC:93.09, Iter:0, batch:130, time:111.77, loss:0.18
Step:131, ACC:93.11, Iter:0, batch:131, time:112.46, loss:0.20
Step:132, ACC:93.09, Iter:0, batch:132, time:113.49, loss:0.38
Step:133, ACC:93.12, Iter:0, batch:133, time:114.21, loss:0.13
Step:134, ACC:93.13, Iter:0, batch:134, time:114.92, loss:0.21
Step:135, ACC:93.08, Iter:0, batch:135, time:115.78, loss:0.43
Step:136, ACC:93.06, Iter:0, batch:136, time:116.72, loss:0.30
Step:137, ACC:93.07, Iter:0, batch:137, time:117.88, loss:0.26
Step:138, ACC:93.06, Iter:0, batch:138, time:118.89, loss:0.28
Step:139, ACC:93.05, Iter:0, batch:139, time:119.85, loss:0.29
Step:140, ACC:93.07, Iter:0, batch:140, time:120.86, loss:0.18
Step:141, ACC:93.08, Iter:0, batch:141, time:122.07, loss:0.22
Step:142, ACC:93.11, Iter:0, batch:142, time:122.89, loss:0.12
Step:143, ACC:93.12, Iter:0, batch:143, time:123.88, loss:0.24
Step:144, ACC:93.12, Iter:0, batch:144, time:125.32, loss:0.22
Step:145, ACC:93.13, Iter:0, batch:145, time:126.29, loss:0.23
Step:146, ACC:93.16, Iter:0, batch:146, time:127.41, loss:0.12
Step:147, ACC:93.17, Iter:0, batch:147, time:128.81, loss:0.26
Step:148, ACC:93.17, Iter:0, batch:148, time:129.76, loss:0.20
Step:149, ACC:93.16, Iter:0, batch:149, time:130.83, loss:0.30
Step:150, ACC:93.17, Iter:0, batch:150, time:131.62, loss:0.24
Step:151, ACC:93.15, Iter:0, batch:151, time:132.52, loss:0.33
Step:152, ACC:93.11, Iter:0, batch:152, time:133.36, loss:0.41
Step:153, ACC:93.08, Iter:0, batch:153, time:134.26, loss:0.37
Step:154, ACC:93.09, Iter:0, batch:154, time:135.08, loss:0.17
Step:155, ACC:93.10, Iter:0, batch:155, time:135.90, loss:0.22
Step:156, ACC:93.10, Iter:0, batch:156, time:136.83, loss:0.24
sentence num: 3330,  classifier time = 27.28 
Dev: acc = 3108/3330 = 93.33
Exceed best acc: history = 0.00, current = 93.33
Iteration: 1, total batch num: 157
Step:157, ACC:93.75, Iter:1, batch:0, time:0.79, loss:0.21
Step:158, ACC:95.31, Iter:1, batch:1, time:1.55, loss:0.16
Step:159, ACC:94.79, Iter:1, batch:2, time:2.65, loss:0.23
Step:160, ACC:94.92, Iter:1, batch:3, time:3.54, loss:0.20
Step:161, ACC:95.31, Iter:1, batch:4, time:4.29, loss:0.15
Step:162, ACC:95.57, Iter:1, batch:5, time:5.14, loss:0.17
Step:163, ACC:95.31, Iter:1, batch:6, time:5.89, loss:0.21
Step:164, ACC:94.73, Iter:1, batch:7, time:6.75, loss:0.28
Step:165, ACC:94.44, Iter:1, batch:8, time:7.64, loss:0.26
Step:166, ACC:94.53, Iter:1, batch:9, time:8.78, loss:0.20
Step:167, ACC:93.89, Iter:1, batch:10, time:9.75, loss:0.39
Step:168, ACC:94.01, Iter:1, batch:11, time:10.57, loss:0.19
