Step:59, ACC:58.80, Iter:0, batch:59, time:58.62, loss:0.61
Step:60, ACC:58.99, Iter:0, batch:60, time:59.43, loss:0.61
Step:61, ACC:58.92, Iter:0, batch:61, time:60.54, loss:0.64
Step:62, ACC:58.95, Iter:0, batch:62, time:61.84, loss:0.64
Step:63, ACC:59.08, Iter:0, batch:63, time:62.54, loss:0.62
Step:64, ACC:59.16, Iter:0, batch:64, time:63.41, loss:0.62
Step:65, ACC:59.19, Iter:0, batch:65, time:64.63, loss:0.61
Step:66, ACC:59.26, Iter:0, batch:66, time:65.26, loss:0.58
Step:67, ACC:59.28, Iter:0, batch:67, time:65.81, loss:0.61
Step:68, ACC:59.35, Iter:0, batch:68, time:66.77, loss:0.58
Step:69, ACC:59.62, Iter:0, batch:69, time:68.03, loss:0.55
Step:70, ACC:59.73, Iter:0, batch:70, time:68.85, loss:0.58
Step:71, ACC:59.83, Iter:0, batch:71, time:69.84, loss:0.60
Step:72, ACC:60.06, Iter:0, batch:72, time:70.96, loss:0.49
Step:73, ACC:60.14, Iter:0, batch:73, time:72.31, loss:0.56
Step:74, ACC:60.25, Iter:0, batch:74, time:73.14, loss:0.57
Step:75, ACC:60.42, Iter:0, batch:75, time:74.07, loss:0.54
Step:76, ACC:60.53, Iter:0, batch:76, time:74.89, loss:0.58
Step:77, ACC:60.58, Iter:0, batch:77, time:75.89, loss:0.63
Step:78, ACC:60.64, Iter:0, batch:78, time:76.61, loss:0.61
Step:79, ACC:60.86, Iter:0, batch:79, time:77.53, loss:0.58
Step:80, ACC:60.92, Iter:0, batch:80, time:78.37, loss:0.59
Step:81, ACC:61.11, Iter:0, batch:81, time:79.01, loss:0.58
Step:82, ACC:61.16, Iter:0, batch:82, time:80.19, loss:0.58
Step:83, ACC:61.29, Iter:0, batch:83, time:81.46, loss:0.57
Step:84, ACC:61.42, Iter:0, batch:84, time:82.38, loss:0.56
Step:85, ACC:61.63, Iter:0, batch:85, time:83.15, loss:0.52
Step:86, ACC:61.69, Iter:0, batch:86, time:84.31, loss:0.61
Step:87, ACC:61.81, Iter:0, batch:87, time:85.09, loss:0.55
Step:88, ACC:61.96, Iter:0, batch:88, time:86.19, loss:0.52
Step:89, ACC:62.14, Iter:0, batch:89, time:87.17, loss:0.53
Step:90, ACC:62.23, Iter:0, batch:90, time:87.88, loss:0.55
Step:91, ACC:62.26, Iter:0, batch:91, time:88.92, loss:0.58
Step:92, ACC:62.38, Iter:0, batch:92, time:89.71, loss:0.50
Step:93, ACC:62.48, Iter:0, batch:93, time:90.31, loss:0.61
Step:94, ACC:62.57, Iter:0, batch:94, time:91.41, loss:0.58
Step:95, ACC:62.66, Iter:0, batch:95, time:92.38, loss:0.53
Step:96, ACC:62.81, Iter:0, batch:96, time:92.98, loss:0.52
