Step:59, ACC:93.54, Iter:0, batch:59, time:62.68, loss:0.24
Step:60, ACC:93.49, Iter:0, batch:60, time:63.38, loss:0.27
Step:61, ACC:93.52, Iter:0, batch:61, time:64.46, loss:0.18
Step:62, ACC:93.50, Iter:0, batch:62, time:65.25, loss:0.31
Step:63, ACC:93.51, Iter:0, batch:63, time:66.43, loss:0.20
Step:64, ACC:93.44, Iter:0, batch:64, time:67.19, loss:0.39
Step:65, ACC:93.42, Iter:0, batch:65, time:68.34, loss:0.27
Step:66, ACC:93.42, Iter:0, batch:66, time:69.40, loss:0.28
Step:67, ACC:93.43, Iter:0, batch:67, time:70.21, loss:0.27
Step:68, ACC:93.46, Iter:0, batch:68, time:71.89, loss:0.21
Step:69, ACC:93.53, Iter:0, batch:69, time:73.30, loss:0.11
Step:70, ACC:93.53, Iter:0, batch:70, time:74.25, loss:0.23
Step:71, ACC:93.51, Iter:0, batch:71, time:75.35, loss:0.25
Step:72, ACC:93.56, Iter:0, batch:72, time:76.77, loss:0.15
Step:73, ACC:93.54, Iter:0, batch:73, time:77.64, loss:0.32
Step:74, ACC:93.56, Iter:0, batch:74, time:78.73, loss:0.17
Step:75, ACC:93.52, Iter:0, batch:75, time:79.62, loss:0.32
Step:76, ACC:93.57, Iter:0, batch:76, time:80.22, loss:0.15
Step:77, ACC:93.55, Iter:0, batch:77, time:81.29, loss:0.25
Step:78, ACC:93.53, Iter:0, batch:78, time:82.36, loss:0.31
Step:79, ACC:93.54, Iter:0, batch:79, time:83.75, loss:0.24
Step:80, ACC:93.61, Iter:0, batch:80, time:84.64, loss:0.07
Step:81, ACC:93.58, Iter:0, batch:81, time:85.80, loss:0.34
Step:82, ACC:93.51, Iter:0, batch:82, time:86.54, loss:0.42
Step:83, ACC:93.51, Iter:0, batch:83, time:87.26, loss:0.27
Step:84, ACC:93.47, Iter:0, batch:84, time:88.66, loss:0.32
Step:85, ACC:93.50, Iter:0, batch:85, time:89.47, loss:0.21
Step:86, ACC:93.52, Iter:0, batch:86, time:90.62, loss:0.18
Step:87, ACC:93.52, Iter:0, batch:87, time:91.74, loss:0.22
Step:88, ACC:93.47, Iter:0, batch:88, time:93.04, loss:0.38
Step:89, ACC:93.54, Iter:0, batch:89, time:93.89, loss:0.08
Step:90, ACC:93.60, Iter:0, batch:90, time:95.16, loss:0.14
Step:91, ACC:93.63, Iter:0, batch:91, time:96.29, loss:0.15
Step:92, ACC:93.65, Iter:0, batch:92, time:97.88, loss:0.19
Step:93, ACC:93.67, Iter:0, batch:93, time:98.96, loss:0.16
Step:94, ACC:93.63, Iter:0, batch:94, time:100.09, loss:0.29
Step:95, ACC:93.67, Iter:0, batch:95, time:100.85, loss:0.14
