Step:59, ACC:55.88, Iter:0, batch:59, time:55.92, loss:0.66
Step:60, ACC:56.10, Iter:0, batch:60, time:57.06, loss:0.60
Step:61, ACC:56.20, Iter:0, batch:61, time:58.19, loss:0.65
Step:62, ACC:56.23, Iter:0, batch:62, time:59.32, loss:0.66
Step:63, ACC:56.43, Iter:0, batch:63, time:60.26, loss:0.62
Step:64, ACC:56.67, Iter:0, batch:64, time:61.22, loss:0.60
Step:65, ACC:56.95, Iter:0, batch:65, time:62.24, loss:0.58
Step:66, ACC:57.11, Iter:0, batch:66, time:62.97, loss:0.60
Step:67, ACC:57.33, Iter:0, batch:67, time:63.80, loss:0.60
Step:68, ACC:57.40, Iter:0, batch:68, time:64.65, loss:0.60
Step:69, ACC:57.52, Iter:0, batch:69, time:65.76, loss:0.59
Step:70, ACC:57.50, Iter:0, batch:70, time:66.77, loss:0.64
Step:71, ACC:57.75, Iter:0, batch:71, time:67.65, loss:0.54
Step:72, ACC:57.99, Iter:0, batch:72, time:68.61, loss:0.55
Step:73, ACC:58.03, Iter:0, batch:73, time:69.66, loss:0.67
Step:74, ACC:58.34, Iter:0, batch:74, time:71.02, loss:0.54
Step:75, ACC:58.54, Iter:0, batch:75, time:71.86, loss:0.60
Step:76, ACC:58.70, Iter:0, batch:76, time:72.57, loss:0.58
Step:77, ACC:58.91, Iter:0, batch:77, time:73.41, loss:0.52
Step:78, ACC:59.12, Iter:0, batch:78, time:74.26, loss:0.51
Step:79, ACC:59.28, Iter:0, batch:79, time:75.10, loss:0.52
Step:80, ACC:59.45, Iter:0, batch:80, time:76.02, loss:0.56
Step:81, ACC:59.53, Iter:0, batch:81, time:76.65, loss:0.62
Step:82, ACC:59.57, Iter:0, batch:82, time:77.65, loss:0.59
Step:83, ACC:59.68, Iter:0, batch:83, time:78.87, loss:0.59
Step:84, ACC:59.73, Iter:0, batch:84, time:79.61, loss:0.64
Step:85, ACC:59.82, Iter:0, batch:85, time:80.51, loss:0.58
Step:86, ACC:59.90, Iter:0, batch:86, time:81.40, loss:0.56
Step:87, ACC:60.00, Iter:0, batch:87, time:82.19, loss:0.57
Step:88, ACC:60.16, Iter:0, batch:88, time:83.05, loss:0.54
Step:89, ACC:60.22, Iter:0, batch:89, time:83.92, loss:0.55
Step:90, ACC:60.26, Iter:0, batch:90, time:85.31, loss:0.60
Step:91, ACC:60.47, Iter:0, batch:91, time:86.65, loss:0.54
Step:92, ACC:60.58, Iter:0, batch:92, time:87.71, loss:0.56
Step:93, ACC:60.77, Iter:0, batch:93, time:88.79, loss:0.55
Step:94, ACC:60.87, Iter:0, batch:94, time:89.61, loss:0.60
Step:95, ACC:61.07, Iter:0, batch:95, time:90.69, loss:0.51
Step:96, ACC:61.23, Iter:0, batch:96, time:91.59, loss:0.53
Step:97, ACC:61.29, Iter:0, batch:97, time:92.29, loss:0.57
Step:98, ACC:61.43, Iter:0, batch:98, time:93.35, loss:0.49
