Step:59, ACC:52.16, Iter:0, batch:59, time:71.76, loss:0.58
Step:60, ACC:52.41, Iter:0, batch:60, time:73.24, loss:0.59
Step:61, ACC:52.52, Iter:0, batch:61, time:73.95, loss:0.64
Step:62, ACC:52.68, Iter:0, batch:62, time:75.06, loss:0.61
Step:63, ACC:52.93, Iter:0, batch:63, time:76.05, loss:0.59
Step:64, ACC:53.08, Iter:0, batch:64, time:77.48, loss:0.56
Step:65, ACC:53.39, Iter:0, batch:65, time:78.22, loss:0.56
Step:66, ACC:53.47, Iter:0, batch:66, time:78.96, loss:0.60
Step:67, ACC:53.65, Iter:0, batch:67, time:79.98, loss:0.55
Step:68, ACC:53.76, Iter:0, batch:68, time:80.63, loss:0.65
Step:69, ACC:53.82, Iter:0, batch:69, time:81.67, loss:0.62
Step:70, ACC:53.96, Iter:0, batch:70, time:82.48, loss:0.63
Step:71, ACC:54.21, Iter:0, batch:71, time:83.58, loss:0.50
Step:72, ACC:54.28, Iter:0, batch:72, time:84.45, loss:0.62
Step:73, ACC:54.46, Iter:0, batch:73, time:85.22, loss:0.60
Step:74, ACC:54.77, Iter:0, batch:74, time:86.55, loss:0.50
Step:75, ACC:54.91, Iter:0, batch:75, time:87.61, loss:0.57
Step:76, ACC:55.07, Iter:0, batch:76, time:88.48, loss:0.55
Step:77, ACC:55.33, Iter:0, batch:77, time:89.13, loss:0.57
Step:78, ACC:55.58, Iter:0, batch:78, time:90.17, loss:0.54
Step:79, ACC:55.80, Iter:0, batch:79, time:90.92, loss:0.54
Step:80, ACC:55.92, Iter:0, batch:80, time:91.98, loss:0.61
Step:81, ACC:56.08, Iter:0, batch:81, time:92.88, loss:0.60
Step:82, ACC:56.23, Iter:0, batch:82, time:94.00, loss:0.57
Step:83, ACC:56.42, Iter:0, batch:83, time:94.62, loss:0.58
Step:84, ACC:56.65, Iter:0, batch:84, time:95.54, loss:0.54
Step:85, ACC:56.76, Iter:0, batch:85, time:97.10, loss:0.56
Step:86, ACC:56.91, Iter:0, batch:86, time:98.05, loss:0.56
Step:87, ACC:57.08, Iter:0, batch:87, time:99.14, loss:0.60
Step:88, ACC:57.29, Iter:0, batch:88, time:99.89, loss:0.51
Step:89, ACC:57.40, Iter:0, batch:89, time:101.10, loss:0.58
Step:90, ACC:57.59, Iter:0, batch:90, time:102.06, loss:0.52
Step:91, ACC:57.69, Iter:0, batch:91, time:103.57, loss:0.55
Step:92, ACC:57.91, Iter:0, batch:92, time:104.54, loss:0.51
Step:93, ACC:58.18, Iter:0, batch:93, time:105.54, loss:0.45
Step:94, ACC:58.39, Iter:0, batch:94, time:107.18, loss:0.51
Step:95, ACC:58.48, Iter:0, batch:95, time:108.25, loss:0.59
Step:96, ACC:58.68, Iter:0, batch:96, time:109.55, loss:0.50
Step:97, ACC:58.85, Iter:0, batch:97, time:110.19, loss:0.58
Step:98, ACC:59.03, Iter:0, batch:98, time:111.19, loss:0.50
Step:99, ACC:59.19, Iter:0, batch:99, time:111.91, loss:0.54
Step:100, ACC:59.36, Iter:0, batch:100, time:112.57, loss:0.52
Step:101, ACC:59.50, Iter:0, batch:101, time:113.54, loss:0.53
Step:102, ACC:59.54, Iter:0, batch:102, time:114.20, loss:0.60
Step:103, ACC:59.74, Iter:0, batch:103, time:115.14, loss:0.46
Step:104, ACC:59.81, Iter:0, batch:104, time:116.05, loss:0.64
Step:105, ACC:59.95, Iter:0, batch:105, time:117.56, loss:0.48
Step:106, ACC:60.12, Iter:0, batch:106, time:118.56, loss:0.49
Step:107, ACC:60.29, Iter:0, batch:107, time:119.47, loss:0.51
Step:108, ACC:60.35, Iter:0, batch:108, time:120.51, loss:0.58
Step:109, ACC:60.53, Iter:0, batch:109, time:121.34, loss:0.51
Step:110, ACC:60.61, Iter:0, batch:110, time:122.06, loss:0.55
Step:111, ACC:60.67, Iter:0, batch:111, time:123.12, loss:0.63
Step:112, ACC:60.79, Iter:0, batch:112, time:124.52, loss:0.52
Step:113, ACC:60.84, Iter:0, batch:113, time:125.28, loss:0.54
Step:114, ACC:60.98, Iter:0, batch:114, time:126.02, loss:0.50
Step:115, ACC:61.10, Iter:0, batch:115, time:127.12, loss:0.52
Step:116, ACC:61.20, Iter:0, batch:116, time:127.91, loss:0.51
Step:117, ACC:61.33, Iter:0, batch:117, time:128.59, loss:0.52
Step:118, ACC:61.53, Iter:0, batch:118, time:130.26, loss:0.47
Step:119, ACC:61.61, Iter:0, batch:119, time:130.96, loss:0.45
