Step:59, ACC:93.13, Iter:0, batch:59, time:69.69, loss:0.24
Step:60, ACC:93.22, Iter:0, batch:60, time:70.67, loss:0.13
Step:61, ACC:93.23, Iter:0, batch:61, time:71.83, loss:0.24
Step:62, ACC:93.26, Iter:0, batch:62, time:73.84, loss:0.19
Step:63, ACC:93.24, Iter:0, batch:63, time:74.73, loss:0.26
Step:64, ACC:93.18, Iter:0, batch:64, time:76.25, loss:0.40
Step:65, ACC:93.24, Iter:0, batch:65, time:77.89, loss:0.13
Step:66, ACC:93.24, Iter:0, batch:66, time:79.42, loss:0.23
Step:67, ACC:93.23, Iter:0, batch:67, time:81.08, loss:0.28
Step:68, ACC:93.28, Iter:0, batch:68, time:82.02, loss:0.13
Step:69, ACC:93.33, Iter:0, batch:69, time:83.62, loss:0.17
Step:70, ACC:93.36, Iter:0, batch:70, time:84.59, loss:0.20
Step:71, ACC:93.32, Iter:0, batch:71, time:85.57, loss:0.31
Step:72, ACC:93.29, Iter:0, batch:72, time:86.32, loss:0.31
Step:73, ACC:93.31, Iter:0, batch:73, time:87.98, loss:0.23
Step:74, ACC:93.34, Iter:0, batch:74, time:88.72, loss:0.19
Step:75, ACC:93.41, Iter:0, batch:75, time:90.11, loss:0.11
Step:76, ACC:93.45, Iter:0, batch:76, time:91.27, loss:0.16
Step:77, ACC:93.46, Iter:0, batch:77, time:92.89, loss:0.27
Step:78, ACC:93.46, Iter:0, batch:78, time:93.77, loss:0.30
Step:79, ACC:93.52, Iter:0, batch:79, time:94.90, loss:0.10
Step:80, ACC:93.57, Iter:0, batch:80, time:96.69, loss:0.15
Step:81, ACC:93.57, Iter:0, batch:81, time:97.96, loss:0.29
Step:82, ACC:93.57, Iter:0, batch:82, time:98.76, loss:0.24
Step:83, ACC:93.48, Iter:0, batch:83, time:100.03, loss:0.49
Step:84, ACC:93.46, Iter:0, batch:84, time:100.74, loss:0.25
Step:85, ACC:93.47, Iter:0, batch:85, time:101.53, loss:0.26
Step:86, ACC:93.45, Iter:0, batch:86, time:103.17, loss:0.28
Step:87, ACC:93.42, Iter:0, batch:87, time:103.84, loss:0.32
Step:88, ACC:93.44, Iter:0, batch:88, time:104.67, loss:0.24
Step:89, ACC:93.43, Iter:0, batch:89, time:106.15, loss:0.31
Step:90, ACC:93.40, Iter:0, batch:90, time:107.72, loss:0.29
Step:91, ACC:93.40, Iter:0, batch:91, time:109.29, loss:0.25
Step:92, ACC:93.40, Iter:0, batch:92, time:110.19, loss:0.22
Step:93, ACC:93.36, Iter:0, batch:93, time:111.56, loss:0.34
Step:94, ACC:93.34, Iter:0, batch:94, time:113.08, loss:0.26
Step:95, ACC:93.32, Iter:0, batch:95, time:114.26, loss:0.31
Step:96, ACC:93.32, Iter:0, batch:96, time:115.72, loss:0.23
Step:97, ACC:93.34, Iter:0, batch:97, time:116.62, loss:0.23
Step:98, ACC:93.38, Iter:0, batch:98, time:117.68, loss:0.18
Step:99, ACC:93.38, Iter:0, batch:99, time:119.11, loss:0.28
Step:100, ACC:93.37, Iter:0, batch:100, time:120.05, loss:0.27
Step:101, ACC:93.34, Iter:0, batch:101, time:121.24, loss:0.30
Step:102, ACC:93.27, Iter:0, batch:102, time:123.19, loss:0.46
Step:103, ACC:93.23, Iter:0, batch:103, time:124.59, loss:0.35
Step:104, ACC:93.23, Iter:0, batch:104, time:126.21, loss:0.24
Step:105, ACC:93.24, Iter:0, batch:105, time:127.22, loss:0.24
Step:106, ACC:93.21, Iter:0, batch:106, time:128.02, loss:0.29
Step:107, ACC:93.22, Iter:0, batch:107, time:129.50, loss:0.27
Step:108, ACC:93.25, Iter:0, batch:108, time:130.32, loss:0.16
Step:109, ACC:93.27, Iter:0, batch:109, time:131.21, loss:0.22
Step:110, ACC:93.25, Iter:0, batch:110, time:132.41, loss:0.31
Step:111, ACC:93.24, Iter:0, batch:111, time:133.21, loss:0.27
Step:112, ACC:93.26, Iter:0, batch:112, time:134.20, loss:0.18
Step:113, ACC:93.27, Iter:0, batch:113, time:135.94, loss:0.22
Step:114, ACC:93.28, Iter:0, batch:114, time:136.75, loss:0.24
Step:115, ACC:93.27, Iter:0, batch:115, time:138.47, loss:0.25
Step:116, ACC:93.27, Iter:0, batch:116, time:139.35, loss:0.18
Step:117, ACC:93.29, Iter:0, batch:117, time:140.28, loss:0.19
Step:118, ACC:93.29, Iter:0, batch:118, time:142.26, loss:0.25
Step:119, ACC:93.30, Iter:0, batch:119, time:143.64, loss:0.25
Step:120, ACC:93.35, Iter:0, batch:120, time:144.86, loss:0.05
Step:121, ACC:93.31, Iter:0, batch:121, time:146.76, loss:0.43
Step:122, ACC:93.32, Iter:0, batch:122, time:148.09, loss:0.22
Step:123, ACC:93.33, Iter:0, batch:123, time:149.19, loss:0.22
Step:124, ACC:93.34, Iter:0, batch:124, time:150.85, loss:0.19
Step:125, ACC:93.37, Iter:0, batch:125, time:151.69, loss:0.16
Step:126, ACC:93.40, Iter:0, batch:126, time:152.63, loss:0.15
Step:127, ACC:93.40, Iter:0, batch:127, time:154.28, loss:0.24
Step:128, ACC:93.43, Iter:0, batch:128, time:155.76, loss:0.12
Step:129, ACC:93.39, Iter:0, batch:129, time:157.09, loss:0.36
Step:130, ACC:93.40, Iter:0, batch:130, time:158.12, loss:0.22
Step:131, ACC:93.40, Iter:0, batch:131, time:158.98, loss:0.27
Step:132, ACC:93.39, Iter:0, batch:132, time:160.13, loss:0.28
Step:133, ACC:93.44, Iter:0, batch:133, time:160.77, loss:0.07
Step:134, ACC:93.42, Iter:0, batch:134, time:162.03, loss:0.30
Step:135, ACC:93.43, Iter:0, batch:135, time:163.47, loss:0.18
Step:136, ACC:93.45, Iter:0, batch:136, time:164.10, loss:0.23
Step:137, ACC:93.46, Iter:0, batch:137, time:165.15, loss:0.20
Step:138, ACC:93.43, Iter:0, batch:138, time:166.75, loss:0.36
Step:139, ACC:93.42, Iter:0, batch:139, time:167.76, loss:0.33
Step:140, ACC:93.43, Iter:0, batch:140, time:168.73, loss:0.18
Step:141, ACC:93.45, Iter:0, batch:141, time:170.10, loss:0.19
Step:142, ACC:93.44, Iter:0, batch:142, time:170.85, loss:0.29
Step:143, ACC:93.44, Iter:0, batch:143, time:171.54, loss:0.22
Step:144, ACC:93.40, Iter:0, batch:144, time:173.28, loss:0.38
Step:145, ACC:93.38, Iter:0, batch:145, time:174.43, loss:0.30
Step:146, ACC:93.35, Iter:0, batch:146, time:175.80, loss:0.32
Step:147, ACC:93.35, Iter:0, batch:147, time:176.72, loss:0.22
Step:148, ACC:93.38, Iter:0, batch:148, time:178.55, loss:0.18
Step:149, ACC:93.39, Iter:0, batch:149, time:179.67, loss:0.19
Step:150, ACC:93.36, Iter:0, batch:150, time:180.68, loss:0.34
Step:151, ACC:93.36, Iter:0, batch:151, time:182.09, loss:0.26
Step:152, ACC:93.39, Iter:0, batch:152, time:183.13, loss:0.17
Step:153, ACC:93.42, Iter:0, batch:153, time:184.11, loss:0.13
Step:154, ACC:93.40, Iter:0, batch:154, time:186.26, loss:0.34
Step:155, ACC:93.42, Iter:0, batch:155, time:187.27, loss:0.16
Step:156, ACC:93.46, Iter:0, batch:156, time:188.08, loss:0.11
Step:157, ACC:93.50, Iter:0, batch:157, time:189.27, loss:0.06
Step:158, ACC:93.48, Iter:0, batch:158, time:190.08, loss:0.37
Step:159, ACC:93.45, Iter:0, batch:159, time:191.15, loss:0.35
Step:160, ACC:93.39, Iter:0, batch:160, time:193.23, loss:0.51
Step:161, ACC:93.36, Iter:0, batch:161, time:194.68, loss:0.45
Step:162, ACC:93.36, Iter:0, batch:162, time:196.32, loss:0.21
Step:163, ACC:93.35, Iter:0, batch:163, time:197.17, loss:0.25
Step:164, ACC:93.34, Iter:0, batch:164, time:198.89, loss:0.34
Step:165, ACC:93.32, Iter:0, batch:165, time:199.73, loss:0.34
Step:166, ACC:93.32, Iter:0, batch:166, time:200.78, loss:0.21
Step:167, ACC:93.30, Iter:0, batch:167, time:202.14, loss:0.33
Step:168, ACC:93.27, Iter:0, batch:168, time:203.20, loss:0.35
Step:169, ACC:93.26, Iter:0, batch:169, time:204.27, loss:0.32
Step:170, ACC:93.27, Iter:0, batch:170, time:205.82, loss:0.18
Step:171, ACC:93.23, Iter:0, batch:171, time:206.80, loss:0.37
Step:172, ACC:93.26, Iter:0, batch:172, time:208.28, loss:0.17
Step:173, ACC:93.24, Iter:0, batch:173, time:209.19, loss:0.28
Step:174, ACC:93.24, Iter:0, batch:174, time:210.19, loss:0.23
Step:175, ACC:93.25, Iter:0, batch:175, time:211.67, loss:0.24
Step:176, ACC:93.24, Iter:0, batch:176, time:212.89, loss:0.26
